施設名,英語名,カテゴリ,住所,英語住所,電話番号,緯度,経度,対応言語,特徴,24時間営業,緊急施設,スポンサー,ウェブサイト,公開中
ドラッグストアコスモス 神戸垂水店,Cosmos Drug Kobe Tarumi,pharmacy,神戸市垂水区日向1-1-1,1-1-1 Hyuga Tarumi-ku Kobe,078-755-0021,34.633700,134.981800,,"大型店舗, 日用品充実",false,false,false,,true
セブン銀行ATM（セブンイレブン三宮駅前店）,7-Eleven ATM Sannomiya Station Front,atm,神戸市中央区磯辺通3-2-16,3-2-16 Isobedori Chuo-ku Kobe,,34.692400,135.195200,"en, zh, ko","24時間, 国際カード, VISA/Master/JCB/Amex",true,true,false,,true
セブン銀行ATM（三ノ宮駅構内）,7-Eleven ATM Sannomiya Station,atm,神戸市中央区三宮町1-1-1,1-1-1 Sannomiya-cho Chuo-ku Kobe,,34.695300,135.195500,"en, zh, ko","24時間, 国際カード対応",true,true,false,,true
ゆうちょ銀行ATM 神戸中央郵便局,Japan Post Bank ATM Kobe Central Post Office,atm,神戸市中央区橘通1-4-2,1-4-2 Tachibana-dori Chuo-ku Kobe,0120-108-420,34.687300,135.193600,"en, zh","国際カード対応, Cirrus/PLUS",false,true,false,,true
みずほ銀行ATM 三宮支店,Mizuho Bank ATM Sannomiya Branch,atm,神戸市中央区三宮町1-4-3,1-4-3 Sannomiya-cho Chuo-ku Kobe,,34.693000,135.192700,"en, zh, ko","VISA/PLUS/Cirrus/Maestro",false,true,false,,true
三菱UFJ銀行ATM 神戸三宮支店,MUFG Bank ATM Kobe Sannomiya,atm,神戸市中央区三宮町1-6-3,1-6-3 Sannomiya-cho Chuo-ku Kobe,,34.692500,135.194000,"en, zh, ko","VISA/Plus/Cirrus, 国際送金",false,true,false,,true
三井住友銀行ATM 神戸支店,SMBC ATM Kobe Branch,atm,神戸市中央区三宮町2-1-1,2-1-1 Sannomiya-cho Chuo-ku Kobe,,34.691800,135.192000,"en, zh","VISA/Plus/Cirrus",false,true,false,,true
ローソン銀行ATM（ローソン神戸元町店）,Lawson Bank ATM Kobe Motomachi,atm,神戸市中央区元町通2-1-5,2-1-5 Motomachi-dori Chuo-ku Kobe,,34.689300,135.183100,"en, zh","24時間, 国際カード",true,true,false,,true
セブン銀行ATM（セブンイレブン神戸メリケンパーク前店）,7-Eleven ATM Meriken Park,atm,神戸市中央区波止場町3-1,3-1 Hatoba-cho Chuo-ku Kobe,,34.680000,135.190000,"en, zh, ko","24時間, 国際カード",true,true,false,,true
イオン銀行ATM イオン神戸南店,AEON Bank ATM Kobe South,atm,神戸市中央区港島中町6-1-1,6-1-1 Minatojima-nakamachi Chuo-ku Kobe,,34.667000,135.204000,"en, zh","VISA/Master, イオンモール内",false,true,false,,true
ゆうちょ銀行ATM 神戸北野郵便局,Japan Post Bank ATM Kobe Kitano,atm,神戸市中央区山本通1-3-1,1-3-1 Yamamoto-dori Chuo-ku Kobe,,34.699000,135.187000,en,"異人館エリア近く, 国際カード",false,true,false,,true
りそな銀行ATM 神戸支店,Resona Bank ATM Kobe Branch,atm,神戸市中央区三宮町2-4-1,2-4-1 Sannomiya-cho Chuo-ku Kobe,,34.691000,135.191000,"en, zh","VISA/Plus/Cirrus/Maestro",false,true,false,,true
関西みらい銀行ATM 神戸三宮支店,Kansai Mirai Bank ATM Kobe Sannomiya,atm,神戸市中央区三宮町1-8-1,1-8-1 Sannomiya-cho Chuo-ku Kobe,,34.692000,135.193000,en,"地方銀行ATM, 国際カード",false,true,false,,true
みずほ銀行ATM 元町支店,Mizuho Bank ATM Motomachi Branch,atm,神戸市中央区元町通3-1-1,3-1-1 Motomachi-dori Chuo-ku Kobe,,34.688500,135.184000,"en, zh","VISA/Plus/Cirrus",false,true,false,,true
セブン銀行ATM 神戸空港,7-Eleven ATM Kobe Airport,atm,神戸市中央区神戸空港1,1 Kobe Airport Chuo-ku Kobe,,34.632800,135.223800,"en, zh, ko","24時間, 国際カード, 空港内",true,true,false,,true
三菱UFJ銀行ATM 神戸元町支店,MUFG Bank ATM Kobe Motomachi,atm,神戸市中央区元町通4-1-1,4-1-1 Motomachi-dori Chuo-ku Kobe,,34.689000,135.181000,"en, zh","VISA/Plus/Cirrus",false,true,false,,true
東遊園地（広域避難場所）,Higashi Yuenchi Park Evacuation Site,evacuation,神戸市中央区加納町6丁目,6-chome Kanocho Chuo-ku Kobe,,34.693900,135.195900,en,"広域避難場所, 中央区, 収容多数",true,true,false,,true
兵庫県立総合体育館（避難場所）,Hyogo Prefectural Gymnasium Evacuation,evacuation,神戸市中央区中野通1-2-1,1-2-1 Nakanotori Chuo-ku Kobe,078-371-2300,34.693500,135.168100,en,"指定避難所, 屋内施設",true,true,false,,true
神戸市立葺合高校（避難場所）,Kobe Fukiai High School Evacuation,evacuation,神戸市中央区二宮町4-1-1,4-1-1 Ninomiya-cho Chuo-ku Kobe,078-221-1222,34.695500,135.201100,,"地域避難所, 中央区指定",true,true,false,,true
神戸市総合運動公園（広域避難場所）,Kobe City Sports Park Evacuation,evacuation,神戸市須磨区緑台,Midorigaoka Suma-ku Kobe,078-792-3900,34.652500,135.098100,en,"広域避難場所, 大規模",true,true,false,,true
HAT神戸なぎさ公園（避難場所）,HAT Kobe Nagisa Park Evacuation,evacuation,神戸市中央区脇浜海岸通2丁目,2-chome Wakihama-kaigan-dori Chuo-ku Kobe,,34.693000,135.222000,,"広域避難場所, 海岸沿い",true,true,false,,true
神戸市立兵庫高校（避難場所）,Kobe Hyogo High School Evacuation,evacuation,神戸市兵庫区神田町2-1-1,2-1-1 Kandacho Hyogo-ku Kobe,078-651-1331,34.682000,135.163000,,"地域避難所, 兵庫区指定",true,true,false,,true
神戸市立須磨翔風高校（避難場所）,Kobe Suma Shofuu High School Evacuation,evacuation,神戸市須磨区中落合2-13-1,2-13-1 Nakaochiai Suma-ku Kobe,078-793-7111,34.680000,135.125000,,"地域避難所, 須磨区指定",true,true,false,,true
神戸学院大学ポートアイランドキャンパス（避難場所）,Kobe Gakuin University Port Island Campus Evacuation,evacuation,神戸市中央区港島1-1-3,1-1-3 Minatojima Chuo-ku Kobe,078-974-1551,34.665000,135.207000,en,"広域避難所, 大学施設",true,true,false,,true
神戸市立垂水中学校（避難場所）,Kobe Tarumi Junior High School Evacuation,evacuation,神戸市垂水区学が丘4-1,4-1 Manabigaoka Tarumi-ku Kobe,078-708-0085,34.636000,134.982000,,"地域避難所, 垂水区指定",true,true,false,,true
メリケンパーク（広域避難場所）,Meriken Park Evacuation Site,evacuation,神戸市中央区波止場町2-2,2-2 Hatoba-cho Chuo-ku Kobe,078-325-2280,34.679700,135.189800,en,"広域避難場所, 港エリア",true,true,false,,true
